|Item|Qty|Reference(s)          |Value            |Footprint                                                |Datasheet                                                                           |
|----|---|----------------------|-----------------|---------------------------------------------------------|------------------------------------------------------------------------------------|
|1   |3  |C1, C21, C24          |1uF              |0603 imp|~                                                                                   |
|2   |2  |C2, C8                |27pF             |0603 imp|~                                                                                   |
|3   |1  |C3                    |0.1uF/100V       |1206 imp|~                                                                                   |
|4   |1  |C4                    |15nF             |0805 imp|~                                                                                   |
|5   |1  |C6                    |1nF              |0603 imp|~                                                                                   |
|6   |1  |C7                    |10nF/100V        |0805 imp|~                                                                                   |
|7   |5  |C9, C10, C11, C12, C25|0.1uF            |0603 imp|~                                                                                   |
|8   |2  |C13, C14              |47uF             |1210 imp|~                                                                                   |
|9   |1  |C15                   |470uF/16V        |Radial_D10.0mm_P5.00mm                  |~                                                                                   |
|10  |2  |C17, C18              |2.2uF/100V       |1210 imp |~                                                                                   |
|11  |1  |C19                   |47uf/100V        |Radial_D8.0mm_P3.50mm                   |~                                                                                   |
|13  |2  |C22, C26              |4.7uF            |0805 imp   |~                                                                                   |
|12  |2  |C20, C23              |0.1Uf            |0603 imp   |~                                                                                   |
|14  |1  |C27                   |1nF/2000V        |1812 imp 		  |~                                                                                   |
|15  |2  |D1, D2                |ABS10(LS)        |SOPA-4, anything   |https://www.diodes.com/assets/Datasheets/ABS10_LS.pdf                |
|16  |1  |D3                    |BAV21            |SOD-123, anything  |http://www.vishay.com/docs/85543/bav17.pdf                                          |
|17  |1  |D4                    |PMEG060V100EPEZ  |SOT-1289B-3        |https://cz.mouser.com/datasheet/2/916/PMEG060V100EPE-3006281.pdf                 |
|18  |1  |D5                    |SMAJ85A          |SMA, SMB, anything |https://cz.mouser.com/datasheet/2/115/DIOD_S_A0011538071_1-2543697.pdf              |
|19  |1  |D6                    |NC               ||~                                                                                   |
|20  |1  |J1                    |8P8C_LED_Shielded|anything |~                                                                                   |
|21  |1  |L1                    |XAL5050-103MEC   |SMD 2221                     |https://componentsearchengine.com/Datasheets/2/XAL5050-103MEC.pdf                   |
|22  |1  |R1                    |NC               ||~                                                                                   |
|23  |1  |R2                    |27K              |1206 imp |~                                                                                   |
|24  |1  |R4                    |51K              |0603 imp |~                                                                                   |
|25  |1  |R5                    |20               |0805 imp |~                                                                                   |
|26  |1  |R7                    |47K              |0603 imp |~                                                                                   |
|27  |1  |R8                    |11K              |0603 imp |~                                                                                   |
|28  |5  |R9, R10, R11, R15, R16|10K              |0603 imp |~                                                                                   |
|29  |1  |R12                   |2.49K 1%         |0603 imp |~                                                                                   |
|30  |2  |R13, R14              |510              |0603 imp |~                                                                                   |
|31  |1  |R18                   |24.9k            |0603 imp |~                                                                                   |
|32  |1  |R19                   |41.2             |0603 imp |~                                                                                   |
|33  |1  |T1                    |POE13P-50LD      |POE13P50LD |https://www.coilcraft.com/pdfs/poe_ep.pdf                                           |
|34  |1  |TR2                   |SM13126PEL       |SM13126PEL |https://eu.mouser.com/datasheet/2/54/bourns_05212019_SM13126PE_datasheet-1595551.pdf|
|35  |1  |U2                    |MP8007GV-Z       |QFN-28 4x5mm                                       |                                                                                    |
|36  |1  |U4                    |RTL8152B         |QFN-24-EP 4x4mm      |http://www.jfd-ic.com/Documents/RTL8152B(N)_Layout.PDF                              |
|37  |1  |Y1                    |25MHz            |anything                                                         |~                                                                                   |
